Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
0.0,1504,1,1504.0,1504.0,1504,1504,0.0,   2    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi4EZNS0_23bitwise_not_kernel_cudaERNS_18TensorIteratorBaseEEUlbE_St5arrayIPcLm2EEEEviT0_T1_
0.0,1472,1,1472.0,1472.0,1472,1472,0.0,   1    2    1, 128    1    1,_ZN2at6native40_GLOBAL__N__0f1a8107_8_Shape_cu_49f7391c35CatArrayBatchedCopy_alignedK_contigINS1_10OpaqueTypeILj4EEEjLi3ELi128ELi1ELi16EEEvPT_NS1_25CatArrInputTensorMetadataIS5_T0_XT2_EXT3_EEENS1_16TensorSizeStrideIS8_Lj4EEEiS8_
0.0,1344,1,1344.0,1344.0,1344,1344,0.0,   1    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_13BinaryFunctorIbbbNS0_51_GLOBAL__N__28ce311f_18_CompareEQKernel_cu_d8008c9616CompareEqFunctorIbEEEESt5arrayIPcLm3EEEEviT0_T1_
0.0,1344,1,1344.0,1344.0,1344,1344,0.0,   1    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_15log_kernel_cudaERNS_18TensorIteratorBaseEENKUlvE0_clEvENKUlvE0_clEvEUlfE_St5arrayIPcLm2EEEEviT0_T1_
0.0,1312,1,1312.0,1312.0,1312,1312,0.0,  16    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_50_GLOBAL__N__e50ef81d_17_CompareKernels_cu_8f1b29aa14CompareFunctorIN3c108BFloat16EEESt5arrayIPcLm3EEEEviT0_T1_
0.0,1280,1,1280.0,1280.0,1280,1280,0.0,   1    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_13BinaryFunctorIbbbNS0_16BitwiseOrFunctorIbEEEESt5arrayIPcLm3EEEEviT0_T1_
0.0,1280,1,1280.0,1280.0,1280,1280,0.0,   1    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_13BinaryFunctorIbbbNS0_17BitwiseAndFunctorIbEEEESt5arrayIPcLm3EEEEviT0_T1_
0.0,1248,1,1248.0,1248.0,1248,1248,0.0,   1    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi4ENS0_50_GLOBAL__N__e50ef81d_17_CompareKernels_cu_8f1b29aa14CompareFunctorIfEESt5arrayIPcLm3EEEEviT0_T1_
0.0,1248,1,1248.0,1248.0,1248,1248,0.0,   1    1    1, 128    1    1,_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_44_GLOBAL__N__50c743a2_11_Indexing_cu_89862edb18masked_fill_kernelERNS_14TensorIteratorERKN3c106ScalarEENKUlvE_clEvENKUlvE5_clEvEUlfbE_St5arrayIPcLm3EEEEviT0_T1_
0.0,1248,1,1248.0,1248.0,1248,1248,0.0,   1    2    1, 128    1    1,_ZN2at6native40_GLOBAL__N__0f1a8107_8_Shape_cu_49f7391c35CatArrayBatchedCopy_alignedK_contigINS1_10OpaqueTypeILj4EEEjLi1ELi128ELi1ELi16EEEvPT_NS1_25CatArrInputTensorMetadataIS5_T0_XT2_EXT3_EEENS1_16TensorSizeStrideIS8_Lj4EEEiS8_
